"original address","returned address",latitude,longitude
"Paris","Paris, France",48.856614,2.352222
"Saint-Denis","Saint-Denis, France",48.936181,2.357443
"Bordeaux","Bordeaux, France",44.837789,-0.57918
"Lens","Lens, France",50.42893,2.83183
"Lille","Lille, France",50.62925,3.057256
"Lyon","Lyon, France",45.764043,4.835659
"Marseille","Marseilles, France",43.296482,5.36978
"Nice","Nice, France",43.710173,7.261953
"Saint-Étienne","Saint-Étienne, France",45.439695,4.387178
"Toulouse","Toulouse, France",43.604652,1.444209
